Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Fall,27-Sep-22,NFL 1,,,2,4,Female,80,AD,,04932-5,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 1,,,2,4,Female,76,AD,,04932-6,1,88,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,78,AD,,04929-1,1,88,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,81,UM,,04929-10,1,88,D+,,,,,22LP004,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,81,AD,,04929-11,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,63,AD,,04929-2,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,1,4,Male,66,AD,CWT00054260,04929-3,1,42,D+,,,637476,1,,,,,,,2018,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF 27.0168,AD Fin Clp,LEWIS RIVER HATCHERY,20200211,20200228,33708
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,71,AD,,04929-4,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,76,AD,,04929-5,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,87,AD,,04929-6,1,51,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,86,AD,,04929-7,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,60,AD,,04929-8,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,81,AD,,04929-9,1,52,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,64,AD,,04930-1,1,41,D+,,,,,,,,,,,,,,,,,,,,,
